created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Feb 13 00:36:41 +0000 2024;1757202097140027858;"Pengiriman logistik ke daerah bencana dan 3T, dipastikan KPU berjalan lancar.  Pagiii Masa Tenang  @KPU_ID  #Pemilu2024 #Pilpres2024 #KPUMelayani #KPURI #KPU  https://t.co/StedCEpeBj";0;0;0;0;in;1366400664960573441;1757202097140027858;holopiscom;https://twitter.com/holopiscom/status/1757202097140027858
Tue Feb 13 00:34:24 +0000 2024;1757201522688209039;"Pemain Naturalisasi Timnas Indonesia, Sandy Walsh ikut Pemilu 2024. Masyarakat diajak untuk tidak Golput  Pagiii Masa Tenang  #viralindo #sepakbola #Pemilu2024 #Pilpres2024  https://t.co/YDWi0ydkkN";0;0;0;0;in;1366400664960573441;1757201522688209039;holopiscom;https://twitter.com/holopiscom/status/1757201522688209039
Tue Feb 13 00:34:09 +0000 2024;1757201459568148887;"Hai Kawan RUKKI, ngga kerasa udah H-1 masa Pemilu 2024. Gunakan Hak Suaramu, Yuk Memilih dengan Bijak!  Karena "SUARAMU, MASA DEPAN KITA" :))  #Pemilu2024 #14februari2024 #NGO #RUKKI #RUKKIFoundation #Advokasi #Advocation Mahasiswa Masa Tenang Tidak ada Bansos Rabu Abu https://t.co/7va8xsvTRL";0;0;0;0;in;1713531664469745664;1757201459568148887;rukkifoundation;https://twitter.com/rukkifoundation/status/1757201459568148887
Tue Feb 13 00:32:31 +0000 2024;1757201047397831158;"Hari ini, Senin (12/2/24), proses distribusi logistik Pemilu resmi dimulai dari gudang logistik Pemilu ke gudang Panitia Pemilihan Kecamatan (PPK) di Kota Lubuk Linggau. Kegiatan tersebut disaksikan oleh unsur Forkopimda  #PemiluSerentak2024 #Pemilu2024kondusif #pemilu2024 https://t.co/yNTPdqpCp7";0;0;0;0;in;1403745324695359489;1757201047397831158;polisilinggau_;https://twitter.com/polisilinggau_/status/1757201047397831158
Tue Feb 13 00:32:28 +0000 2024;1757201035968614611;"Gunakan Hak pilih pada pemilu 14 Februari besok dengan penuh cinta dan tinta demi masa depan Indonesia yang lebih baik.  #Pemilu2024 https://t.co/OtB3GpyTsa";0;0;0;0;in;790781358360494080;1757201035968614611;Khoirul__Umam;https://twitter.com/Khoirul__Umam/status/1757201035968614611
Tue Feb 13 00:26:15 +0000 2024;1757199469853249715;"Megawati Harap Pelaksanaan Pemilu Netral dan Damai  Date: 18 Januari 2024  #megawati #pemilu2024 #PemiluDamai https://t.co/ZFSFHfJyFr";0;0;0;0;in;1740205989998313472;1757199469853249715;Olenka_News;https://twitter.com/Olenka_News/status/1757199469853249715
Tue Feb 13 00:25:44 +0000 2024;1757199340773290061;"Pemerintah mengakui seruan intelektual untuk dialog konstruktif sebagai cara mengatasi permasalahan demokrasi dan suksesnya Pemilu 2024. #Pemilu2024 #PemiluDamai2024 #PemiluDamaiNegeriMaju #Pemilu2024BebasHoaks #Pemilu2024MenujuIndonesiaMaju https://t.co/TOSXe7VawZ";0;0;0;0;in;1713751914977120256;1757199340773290061;Minang_in;https://twitter.com/Minang_in/status/1757199340773290061
Tue Feb 13 00:24:59 +0000 2024;1757199151702720893;"Operasi Mantap Brata 2024 | Polres Sukoharjo  - Seduluran Saklawase - #PolriNetral #PolriPresisi #Pemilu2024 #OpsMantapBrata #PresisiUntukNegeri https://t.co/bbHpOcX07a";0;0;0;1;in;740058303816863745;1757199151702720893;PolisiSukoharjo;https://twitter.com/PolisiSukoharjo/status/1757199151702720893
Tue Feb 13 00:23:59 +0000 2024;1757198898106716307;"Jangan lupa gunakan hak suaramu, dengan memberikan suara pada pemilihan umum, kita turut serta dalam menentukan masa depan bangsa dan meningkatkan kualitas demokrasi. Mari kita gunakan hak suara kita dengan bijak dan bertanggung jawab. #Jamkesjak #Pemilu2024 #pemilu #pemilusehat https://t.co/jyPhjIaIbO";0;0;0;1;in;1402904474243403784;1757198898106716307;jamkesjakarta;https://twitter.com/jamkesjakarta/status/1757198898106716307
Tue Feb 13 00:22:44 +0000 2024;1757198583290270032;"@KPU_ID Cuaca Sangat Ekstrem, @KPU_ID Diminta Antisipasi Bencana Alam Saat Coblosan #Pemilu2024 https://t.co/A5i32T8938";0;0;0;0;in;50968320;1757086834679808093;hakimjayli;https://twitter.com/hakimjayli/status/1757198583290270032
